"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_conductor","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud","Latitud"
"2016S004019    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",297001,"Sant Antoni Maria Claret","0406 0406","Dimecres","2016",5,"Maig","25","17","Desconegut","Tarda","431936    ","4585592.05","2.18441362634767","41.4171565159290"
"2016S000059    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",346402,"Trinxant","0122 0122","Dilluns","2016",1,"Gener","4","16","No determinada","Tarda","431936    ","4585592.05","2.18441362634767","41.4171565159290"
"2016S000561    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",297001,"Sant Antoni Maria Claret","0352 0354","Divendres","2016",1,"Gener","22","23","Manca d'atenció a la conducció","Nit","431530.84 ","4585260.16","2.17960350972594","41.4141328405665"
"2016S001063    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",343801,"Travessera","0007 0007","Dimecres","2016",2,"Febrer","10","13","Manca d'atenció a la conducció","Matí","431551.19 ","4585223.29","2.17985116019277","41.4138024995769"
"2016S002624    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",95506,"Conca","0014 0016","Dimecres","2016",4,"Abril","6","18","Altres","Tarda","431607.74 ","4585358.87","2.18051240144427","41.4150284433574"
"2016S002044    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",194406,"Maragall","0013 0013","Dilluns","2016",3,"Març","14","22","Altres","Nit","431315.37 ","4585145.28","2.17703859954137","41.4130797515073"
"2016S003022    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",297001,"Sant Antoni Maria Claret","0304X0304X","Dijous","2016",4,"Abril","21","08","Canvi de carril sense precaució","Matí","431369.31 ","4584838.67","2.17771875731547","41.4103228277772"
"2016S008069    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",134801,"Freser","0031 0033","Diumenge","2016",10,"Octubre","23","09","Gir indegut o sense precaució","Matí","431460.81 ","4585127.29","2.17878071038030","41.4129301491833"
"2016S004375    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",191204,"Mallorca","0546 0546","Diumenge","2016",6,"Juny","5","20","Desobeir altres senyals","Tarda","431596.4  ","4584930.61","2.18042518700254","41.4111702779801"
"2016S004060    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",134801,"Freser","0019 0019","Divendres","2016",5,"Maig","27","07","No determinada","Matí","431369.31 ","4584838.67","2.17771875731547","41.4103228277772"
"2016S009351    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161101,"Independència","0319 0319","Diumenge","2016",12,"Desembre","4","17","Desconegut","Tarda","431842.11 ","4584552.4 ","2.18340746215208","41.4077847512087"
"2016S000398    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",191204,"Mallorca","0513 0513","Diumenge","2016",1,"Gener","17","15","Desobeir semàfor","Tarda","431651.12 ","4584550.19","2.18112285591895","41.4077486147055"
"2016S004463    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",191204,"Mallorca","0533 0533","Dimecres","2016",6,"Juny","8","18","Desconegut","Tarda","431736.13 ","4584619.91","2.18213197732538","41.4083837913911"
"2016S004168    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",350308,"València","0559 0559","Dimarts","2016",5,"Maig","31","05","Desobeir semàfor","Nit","431842.11 ","4584552.4 ","2.18340746215208","41.4077847512087"
"2016S008238    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",350308,"València","0568 0568","Divendres","2016",10,"Octubre","28","16","Desconegut","Tarda","432131.07 ","4584631.66","2.18685546165919","41.4085230938487"
"2016S008113    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",350308,"València","0570 0570","Dimarts","2016",10,"Octubre","25","07","No respectar distàncies","Matí","432098.83 ","4584629.17","2.18647004214999","41.4084979418827"
"2016S008953    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",350308,"València","0591 0591","Dilluns","2016",11,"Novembre","21","12","Altres","Matí","431777.3  ","4584660.08","2.18261997510572","41.4087490885623"
"2016S006083    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",83904,"Coll i Vehí","0015 0015","Dimecres","2016",8,"Agost","3","15","Desconegut","Tarda","431636.75 ","4585075.78","2.18089151075485","41.4124812138530"
"2016S010139    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",173009,"Joan de Peguera","0027 0027","Dissabte","2016",12,"Desembre","31","18","Manca d'atenció a la conducció","Tarda","431666.53 ","4585171.58","2.18123697126520","41.4133465885414"
"2016S006026    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",173009,"Joan de Peguera","0033 0035","Dilluns","2016",8,"Agost","1","14","No cedir la dreta","Tarda","431666.53 ","4585171.58","2.18123697126520","41.4133465885414"
"2016S005390    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",191204,"Mallorca","0578 0578","Dissabte","2016",7,"Juliol","9","19","Gir indegut o sense precaució","Tarda","431934.16 ","4584454.66","2.18451968042250","41.4069122437300"
"2016S003194    ",10,"Sant Martí",72,"Sant Martí de Provençals",263702,"Porxos","0008 0008","Dimecres","2016",4,"Abril","27","16","Gir indegut o sense precaució","Tarda","432165.46 ","4584870.33","2.18724010251804","41.4106756279461"
"2016S006687    ",10,"Sant Martí",65,"el Clot",92701,"Corunya","0004 0004","Divendres","2016",9,"Setembre","2","16","Manca d'atenció a la conducció","Tarda","432380.82 ","4585062.88","2.18979508284968","41.4124280317073"
"2016S003686    ",10,"Sant Martí",72,"Sant Martí de Provençals",17900,"Antoni Gassol","0001B0001B","Divendres","2016",5,"Maig","13","14","No determinada","Tarda","432411.1  ","4585107.29","2.19015239010841","41.4128305685902"
"2016S001264    ",10,"Sant Martí",72,"Sant Martí de Provençals",160404,"Ignasi Juliol","0006 0006","Dijous","2016",2,"Febrer","18","09","Canvi de carril sense precaució","Matí","432736.57 ","4585142.39","2.19404246666592","41.4131740347502"
"2016S004637    ",10,"Sant Martí",72,"Sant Martí de Provençals",15201,"Andrade","0112 0112","Dimarts","2016",6,"Juny","14","19","No respectar distàncies","Tarda","432261.78 ","4584802.09","2.18840009929845","41.4100691416638"
"2016S001480    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",224802,"Nació","0015B0015B","Dijous","2016",2,"Febrer","25","11","Gir indegut o sense precaució","Matí","431837.23 ","4584359.62","2.18337081380528","41.4060480267621"
